,location,year,BMI: Obese (BMI 30.0 - 99.8),BMI: Overweight (BMI 25.0-29.9),BMI: Normal Weight (BMI 18.5-24.9),BMI: Underweight (BMI 12.0-18.4),General health: Excellent,General health: Very good,General health: Good,General health: Fair,General health: Poor,Health status: Good or Better,Health status: Fair or Poor,Doc visit: Past year,Doc visit: Past 2 years,Doc visit: Past 5 years,Doc visit: 5+ years ago,Doc visit: Never,"Concentrate, remember, decide: Difficult","Concentrate, remember, decide: Not difficult",Bad mental health days: 0,Bad mental health days: 1-13,Bad mental health days: 14+,Fruit eaten: Daily,Fruit eaten: Not daily,Vegetables eaten: Daily,Vegetables eaten: Not daily,Aerobic activity per week: Over 150 min,Aerobic activity per week: Under 150 min,Met physical activity guidelines: Yes,Met physical activity guidelines: No,Strength training: 2x+ per week,Strength training: 1x- per week,Physically active in last month: Yes,Physically active in last month: No
0,Alabama,2015,35.6,33.0,28.9,2.4,16.2,29.1,32.5,15.2,7.0,77.8,22.2,71.7,12.0,6.5,8.4,1.3,15.0,85.0,,,,51.7,48.3,72.2,27.8,44.6,55.4,16.7,83.3,25.8,74.2,68.1,31.9
1,Alabama,2016,35.7,33.8,28.4,2.1,15.2,29.8,32.5,15.7,6.9,77.4,22.6,72.5,11.3,7.0,8.1,1.1,14.3,85.7,,,,,,,,,,,,,,70.6,29.4
2,Alabama,2017,36.3,33.9,28.5,1.3,15.4,28.2,33.1,16.2,7.1,76.7,23.3,71.9,11.8,6.5,8.7,1.2,15.8,84.2,,,,55.2,44.8,80.7,19.3,42.8,57.2,16.1,83.9,26.0,74.0,68.0,32.0
3,Alabama,2018,36.2,33.4,28.4,2.0,14.5,28.6,34.0,15.7,7.2,77.1,22.9,77.2,11.6,4.9,5.8,0.5,15.8,84.2,,,,,,,,,,,,,,69.3,30.7
4,Alabama,2019,36.1,34.2,27.5,2.2,15.4,29.5,32.4,16.2,6.5,77.3,22.7,78.5,9.7,5.2,5.9,0.7,16.7,83.3,58.0,24.5,17.5,53.9,46.1,77.7,22.3,44.8,55.2,17.6,82.4,29.2,70.8,68.5,31.5
5,Alabama,2020,39.0,33.7,25.4,1.8,17.6,30.0,32.2,15.4,4.9,79.8,20.2,76.5,10.4,6.3,5.8,0.9,14.0,86.0,60.8,23.4,15.8,,,,,,,,,,,71.2,28.8
6,Alabama,2021,39.9,31.9,26.4,1.8,15.2,30.8,34.6,14.4,5.1,80.6,19.4,78.0,11.0,4.9,5.4,0.6,15.1,84.9,56.7,24.9,18.4,54.2,45.8,79.4,20.6,,,,,,,68.5,31.5
7,Delaware,2015,29.7,37.2,31.7,1.4,18.6,33.2,30.6,14.0,3.6,82.4,17.6,75.6,11.9,6.2,5.0,1.2,10.8,89.2,,,,61.8,38.2,79.3,20.7,48.5,51.5,20.3,79.7,30.5,69.5,70.6,29.4
8,Delaware,2016,30.7,37.3,30.2,1.8,19.2,33.8,30.6,11.8,4.6,83.6,16.4,78.2,10.4,5.5,5.3,0.7,9.8,90.2,,,,,,,,,,,,,,73.4,26.6
9,Delaware,2017,31.8,36.7,29.5,2.0,16.8,31.0,33.4,14.0,4.8,81.2,18.8,78.3,11.6,4.3,4.9,0.9,13.2,86.8,,,,64.6,35.4,82.8,17.2,46.3,53.7,19.0,81.0,28.6,71.4,69.0,31.0
10,Delaware,2018,33.5,34.3,30.6,1.6,18.4,32.2,32.2,13.3,3.8,82.8,17.2,80.1,10.3,4.9,4.1,0.5,11.7,88.3,,,,,,,,,,,,,,73.2,26.8
11,Delaware,2019,34.4,34.5,29.4,1.7,17.6,31.6,32.0,15.1,3.7,81.3,18.7,82.2,9.0,4.5,3.7,,10.5,89.5,61.3,25.3,13.5,63.0,37.0,79.7,20.3,51.1,48.9,23.8,76.2,37.0,63.0,73.4,26.6
12,Delaware,2020,36.5,32.1,29.2,2.1,20.5,34.7,31.0,10.2,3.6,86.2,13.8,77.6,11.8,5.8,4.3,0.6,9.8,90.2,65.2,22.5,12.3,,,,,,,,,,,75.3,24.7
13,Delaware,2021,33.9,34.9,29.4,1.9,19.6,33.1,32.7,11.1,3.5,85.4,14.6,77.1,12.7,6.0,3.7,0.4,10.8,89.2,63.0,24.1,13.0,60.3,39.7,79.5,20.5,,,,,,,72.8,27.2
14,District of Columbia,2015,22.1,32.2,43.5,2.1,27.2,35.0,25.8,8.8,3.2,88.0,12.0,76.2,13.7,7.6,2.4,,8.4,91.6,,,,63.0,37.0,81.0,19.0,57.9,42.1,23.7,76.3,33.6,66.4,80.6,19.4
15,District of Columbia,2016,22.6,30.8,44.4,2.2,27.3,35.5,25.6,9.0,2.6,88.4,11.6,78.6,13.0,4.9,2.9,,9.7,90.3,,,,,,,,,,,,,,83.8,16.2
16,District of Columbia,2017,22.9,31.2,43.5,2.4,27.0,38.9,23.2,8.2,2.7,89.2,10.8,76.9,12.3,7.0,3.4,,9.7,90.3,,,,68.9,31.1,87.7,12.3,53.0,47.0,24.0,76.0,34.7,65.3,75.7,24.3
17,District of Columbia,2018,24.7,31.1,41.8,2.4,25.0,35.8,25.6,10.2,3.3,86.5,13.5,80.9,11.2,5.5,1.8,,8.8,91.2,,,,,,,,,,,,,,80.4,19.6
18,District of Columbia,2019,23.8,32.1,42.4,1.7,25.2,36.8,24.4,10.5,3.1,86.4,13.6,78.7,13.7,4.7,2.1,,10.2,89.8,54.0,34.4,11.5,64.4,35.6,83.5,16.5,54.7,45.3,27.2,72.8,40.6,59.4,81.0,19.0
19,District of Columbia,2020,24.3,33.0,40.8,1.9,28.6,35.6,25.5,8.6,1.8,89.6,10.4,71.8,18.6,6.5,2.9,,10.8,89.2,51.6,33.9,14.5,,,,,,,,,,,81.9,18.1
