,index,definition
0,CLASS01,Alcohol Consumption
1,CLASS02,Cholesterol Awareness
2,CLASS03,Chronic Health Indicators
3,CLASS04,Colorectal Cancer Screening
4,CLASS05,Demographics
5,CLASS06,Fruits and Vegetables
6,CLASS07,Health Care Access/Coverage
7,CLASS08,Health Status
8,CLASS09,HIV-AIDS
9,CLASS10,Hypertension Awareness
10,CLASS11,Immunization
11,CLASS12,Injury
12,CLASS13,Oral Health
13,CLASS14,Overweight and Obesity (BMI)
14,CLASS15,Physical Activity
15,CLASS16,Prostate Cancer
16,CLASS17,Tobacco Use
17,CLASS18,Women's Health
18,CLASS19,E-Cigarette Use
19,CLASS20,Days of Poor Health
20,TOPIC01,Aerobic Activity
21,TOPIC02,Age
22,TOPIC03,Alcohol Consumption
23,TOPIC04,All Teeth Removed
24,TOPIC05,Arthritis
25,TOPIC06,Asthma
26,TOPIC07,Binge Drinking
27,TOPIC08,Blood Stool Test
28,TOPIC09,BMI Categories
29,TOPIC10,Cardiovascular Disease
30,TOPIC11,Cholesterol Checked
31,TOPIC12,Cholesterol High
32,TOPIC14,COPD
33,TOPIC15,Current Smoker Status
34,TOPIC16,Dental Visit
35,TOPIC17,Depression
36,TOPIC18,Diabetes
37,TOPIC19,Disability status
38,TOPIC20,Drink and Drive
39,TOPIC21,Education
40,TOPIC22,Employment
41,TOPIC23,Exercise
42,TOPIC24,Fair or Poor Health
43,TOPIC26,Flu Shot
44,TOPIC27,Fruit Consumption
45,TOPIC28,Health Care Cost
46,TOPIC29,Health Care Coverage
47,TOPIC30,Heavy Drinking
48,TOPIC31,High Blood Pressure
49,TOPIC32,HIV Test
50,TOPIC33,Income
51,TOPIC34,Internet
52,TOPIC35,Kidney
53,TOPIC36,Last Checkup
54,TOPIC37,Mammogram
55,TOPIC38,Marital Status
56,TOPIC39,Number of Children
57,TOPIC40,Other Cancer
58,TOPIC41,Overall Health
59,TOPIC42,Pap Test
60,TOPIC43,Personal Care Provider
61,TOPIC45,Physical Activity Index
62,TOPIC46,Pneumonia Vaccination
63,TOPIC47,PSA Test
64,TOPIC48,Race
65,TOPIC49,Rent/Own Home
66,TOPIC50,Seatbelt Use
67,TOPIC51,Sex
68,TOPIC52,Sigmoidoscopy
69,TOPIC53,Skin Cancer
70,TOPIC54,Smokeless Tobacco
71,TOPIC55,Smoker Status
72,TOPIC56,Strength Activity
73,TOPIC57,Teeth Removed
74,TOPIC58,Tetanus Shot
75,TOPIC59,Under 65 Coverage
76,TOPIC60,Vegetable Consumption
77,TOPIC61,Veteran Status
78,TOPIC63,Shingle Vaccination
79,TOPIC64,USPSTF Recommendations
80,TOPIC67,E-Cigarette Use
81,TOPIC68,Colonoscopy
82,TOPIC70,Hearing
83,TOPIC71,Healthy Days
84,Topic02,Age
85,Topic03,Alcohol Consumption
86,Topic04,All Teeth Removed
87,Topic05,Arthritis
88,Topic06,Asthma
89,Topic07,Binge Drinking
90,Topic08,Blood Stool Test
91,Topic09,BMI Categories
92,Topic10,Cardiovascular Disease
93,Topic11,Cholesterol Checked
94,Topic12,Cholesterol High
95,Topic14,COPD
96,Topic15,Current Smoker Status
97,Topic16,Dental Visit
98,Topic17,Depression
99,Topic18,Diabetes
100,Topic19,Disability status
101,Topic20,Drink and Drive
102,Topic21,Education
103,Topic22,Employment
104,Topic23,Exercise
105,Topic24,Fair or Poor Health
106,Topic26,Flu Shot
107,Topic27,Fruit Consumption
108,Topic28,Health Care Cost
109,Topic29,Health Care Coverage
110,Topic30,Heavy Drinking
111,Topic31,High Blood Pressure
112,Topic32,HIV Test
113,Topic33,Income
114,Topic34,Internet
115,Topic35,Kidney
116,Topic36,Last Checkup
117,Topic37,Mammogram
118,Topic38,Marital Status
119,Topic39,Number of Children
120,Topic40,Other Cancer
121,Topic41,Overall Health
122,Topic42,Pap Test
123,Topic43,Personal Care Provider
124,Topic46,Pneumonia Vaccination
125,Topic47,PSA Test
126,Topic48,Race
127,Topic49,Rent/Own Home
128,Topic50,Seatbelt Use
129,Topic51,Sex
130,Topic52,Sigmoidoscopy
131,Topic53,Skin Cancer
132,Topic54,Smokeless Tobacco
133,Topic55,Smoker Status
134,Topic56,Strength Activity
135,Topic57,Teeth Removed
136,Topic58,Tetanus Shot
137,Topic59,Under 65 Coverage
138,Topic60,Vegetable Consumption
139,Topic61,Veteran Status
140,Topic62,Vision
141,Topic63,Shingle Vaccination
142,Topic64,USPSTF Recommendations
143,1,Alabama
144,2,Alaska
145,4,Arizona
146,5,Arkansas
147,6,California
148,8,Colorado
149,9,Connecticut
150,10,Delaware
151,11,District of Columbia
152,12,Florida
153,13,Georgia
154,15,Hawaii
155,16,Idaho
156,17,Illinois
157,18,Indiana
158,19,Iowa
159,20,Kansas
160,21,Kentucky
161,22,Louisiana
162,23,Maine
163,24,Maryland
164,25,Massachusetts
165,26,Michigan
166,27,Minnesota
167,28,Mississippi
168,29,Missouri
169,30,Montana
170,31,Nebraska
171,32,Nevada
172,33,New Hampshire
173,34,New Jersey
174,35,New Mexico
175,36,New York
176,37,North Carolina
177,38,North Dakota
178,39,Ohio
179,40,Oklahoma
180,41,Oregon
181,42,Pennsylvania
182,44,Rhode Island
183,45,South Carolina
184,46,South Dakota
185,47,Tennessee
186,48,Texas
187,49,Utah
188,50,Vermont
189,51,Virginia
190,53,Washington
191,54,West Virginia
192,55,Wisconsin
193,56,Wyoming
194,66,Guam
195,72,Puerto Rico
196,78,Virgin Islands
197,98,All States and DC (median) **
198,99,"All States, DC and Territories (median) **"
199,AGE01,18-24
200,AGE02,25-34
201,AGE03,35-44
202,AGE04,45-54
203,AGE05,55-64
204,AGE06,40-49
205,AGE07,50-59
206,AGE08,60-64
207,AGE09,65+
208,AGE10,65-74
209,AGE11,75+
210,AGE12,21-30
211,AGE13,31-40
212,AGE14,41-50
213,AGE15,51-60
214,AGE16,61-65
215,AGE17,60-69
216,AGE18,70-74
217,AGE19,70-75
218,AGE20,21-25
219,AGE21,26-35
220,AGE22,36-45
221,AGE23,46-55
222,AGE24,56-65
223,BO1,Overall
224,EDUCA1,Less than H.S.
225,EDUCA2,H.S. or G.E.D.
226,EDUCA3,Some post-H.S.
227,EDUCA4,College graduate
228,INCOME01,"Less than $15,000"
229,INCOME02,"$15,000-$24,999"
230,INCOME03,"$25,000-$34,999"
231,INCOME04,"$35,000-$49,999"
232,INCOME05,"$50,000-$99,999"
233,INCOME06,"$100,000-$199,999"
234,INCOME07,"$200,000+"
235,INCOME1,"Less than $15,000"
236,INCOME2,"$15,000-$24,999"
237,INCOME3,"$25,000-$34,999"
238,INCOME4,"$35,000-$49,999"
239,INCOME5,"$50,000+"
240,RACE01,"White, non-Hispanic"
241,RACE02,"Black, non-Hispanic"
242,RACE03,"American Indian or Alaskan Native, non-Hispanic"
243,RACE04,"Asian, non-Hispanic"
244,RACE05,"Native Hawaiian or other Pacific Islander, non-Hispanic"
245,RACE06,"Other, non-Hispanic"
246,RACE07,"Multiracial, non-Hispanic"
247,RACE08,Hispanic
248,RACE1,"White, non-Hispanic"
249,RACE2,"Black, non-Hispanic"
250,RACE3,Hispanic
251,RACE4,"Other, non-Hispanic"
252,RACE5,"Multiracial, non-Hispanic"
253,SEX1,Male
254,SEX2,Female
255,CAT1,Overall
256,CAT2,Gender
257,CAT3,Age Group
258,CAT4,Race/Ethnicity
259,CAT5,Education Attained
260,CAT6,Household Income
261,ADDEPEV2,Ever told you that you have a form of depression?
262,ADDEPEV3,Ever told you that you have a form of depression?
263,AGE,What is your age?
264,BLIND,"Are you blind or do you have serious difficulty seeing, even when wearing glasses?"
